freq,siec,plant_tec,operator,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,NO	: 	162.000 	162.000 	197.000 	197.000 	194.000 	200.000 	200.000 	197.000 	163.000 	163.000 	73.000 	118.000 	116.000 	128.000 	136.000 	128.000 	128.000 	188.000 	729.000 	553.000 	553.000 	553.000 	553.000 	553.000 	553.000 	553.000 	539.000 	552.000 	552.000 	557.000 	449.674 	449.674 	290.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,PL	2359.000 	2321.000 	2376.000 	2362.000 	2245.000 	2235.000 	2134.000 	2076.000 	1996.000 	1977.000 	1887.000 	1930.000 	1892.000 	2069.000 	2035.000 	2015.000 	1998.000 	1910.000 	1620.000 	1654.000 	1793.000 	1727.000 	1765.000 	1801.000 	1818.000 	2027.000 	1888.000 	2482.829 	3094.092 	3112.289 	3076.823 	3116.037 	3311.189 	3328.506 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,PT	518.000 	552.000 	634.000 	637.000 	643.000 	678.000 	720.000 	764.000 	793.000 	962.000 	1111.000 	1103.000 	1210.000 	1217.000 	1277.000 	1306.000 	1315.000 	1439.000 	1497.000 	1679.000 	1820.000 	1885.000 	2003.000 	1899.000 	1908.000 	1843.000 	1781.000 	1769.147 	1872.007 	1879.350 	1884.156 	1888.567 	1661.476 	1596.630 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	604.000 	859.000 	775.000 	707.000 	731.000 	676.000 	668.000 	1520.000 	2329.000 	2342.000 	2338.000 	2151.000 	2158.895 	2149.873 	1695.674 	1816.659 	1853.798 	1608.824 	1772.317 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	4.000 	5.000 	5.000 	10.000 	113.711 	118.411 	141.730 	144.502 	149.674 	152.425 	: 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,SE	839.000 	839.000 	1059.000 	1042.000 	900.000 	760.000 	841.000 	1008.000 	870.000 	941.000 	954.000 	954.000 	1040.000 	979.000 	984.000 	984.000 	1098.000 	1197.000 	1308.000 	1236.000 	1117.000 	1399.000 	1238.000 	1194.000 	0.000 	0.000 	0.000 	1267.000 	1430.000 	1393.000 	1386.000 	1460.000 	1534.000 	1435.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,SI	0.000 	0.000 	84.000 	84.000 	84.000 	84.000 	84.000 	84.000 	84.000 	84.000 	96.000 	99.000 	81.000 	80.000 	78.000 	78.000 	76.000 	62.000 	61.000 	68.000 	57.000 	57.000 	40.000 	42.000 	50.000 	47.000 	46.000 	46.279 	47.172 	44.259 	45.938 	47.060 	44.759 	59.602 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	615.000 	565.000 	585.000 	562.000 	525.000 	580.000 	585.000 	588.000 	578.000 	551.000 	562.000 	583.000 	585.000 	657.000 	635.000 	604.000 	633.000 	769.000 	766.000 	751.000 	741.000 	734.000 	728.000 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3306.000 	3621.000 	3887.000 	3711.000 	3474.000 	3192.000 	3153.000 	2961.000 	2494.000 	2581.000 	2481.000 	2739.000 	2919.000 	3683.000 	3811.000 	4223.000 	4416.859 	4449.982 	5221.659 	5283.549 	5362.568 	5449.647 	5856.439 
A,CF,CAP_NET_ELC,PRR_AUTO,MW,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	97.000 	98.000 	98.000 	98.000 	98.000 	98.000 	98.000 	98.000 	98.000 	98.000 	98.000 	98.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,AT	4743.000 	4750.000 	5133.000 	5061.000 	5079.000 	5028.000 	5031.000 	5199.000 	4917.000 	5089.000 	5062.000 	5194.000 	5049.000 	5095.000 	5321.000 	5243.000 	5280.000 	5008.000 	5874.000 	5712.000 	5582.000 	6339.000 	6347.000 	6326.000 	6136.000 	5964.000 	5561.000 	5271.568 	5244.463 	4593.224 	4608.505 	4991.332 	4360.461 	4506.622 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1765.000 	1765.000 	2065.000 	2065.000 	2065.250 	2066.220 	2066.120 	2067.740 	2067.740 	2067.740 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,BE	6490.000 	6445.000 	6394.000 	6433.000 	7298.000 	7211.000 	7126.000 	6945.000 	7650.000 	7746.000 	8105.000 	7934.000 	7930.000 	7960.000 	7964.000 	8223.000 	8313.000 	8293.000 	8165.000 	8391.000 	8397.000 	9128.000 	8182.000 	7559.000 	7202.000 	7199.000 	7167.900 	7019.300 	6667.400 	6462.600 	6403.800 	6282.000 	6278.100 	6201.700 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	4977.000 	5172.000 	5128.000 	7043.000 	6419.000 	6419.000 	6419.000 	6419.000 	6205.000 	4710.000 	4466.000 	4325.000 	4522.000 	4495.000 	4849.000 	4636.000 	4410.000 	3854.000 	3635.000 	3550.967 	3985.986 	3936.461 	3650.998 	3682.936 	5111.821 	5177.911 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,CY	0.000 	0.000 	0.000 	0.000 	0.000 	690.000 	690.000 	690.000 	690.000 	728.000 	988.000 	988.000 	988.000 	988.000 	988.000 	1118.000 	1118.000 	1118.000 	1168.000 	1389.000 	1439.000 	1555.000 	1525.000 	1481.000 	1481.000 	1481.000 	1481.000 	1480.190 	1480.510 	1480.510 	1480.510 	1480.436 	1480.436 	1484.936 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,CZ	10229.000 	9898.000 	9464.000 	9357.000 	9086.000 	9143.000 	9374.000 	9471.000 	9181.000 	9142.000 	9187.000 	9221.000 	9266.000 	9373.000 	9416.000 	9321.000 	9330.000 	9318.000 	9450.000 	9626.000 	10346.000 	10244.000 	10273.000 	10498.000 	11342.000 	11275.000 	11385.000 	11582.300 	11605.078 	11290.027 	10747.947 	10269.351 	10193.619 	10268.072 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,DE	55632.000 	70667.000 	68737.000 	67918.000 	67572.000 	68658.000 	68841.000 	69290.000 	68508.000 	68520.000 	70792.000 	69047.000 	71072.000 	66988.000 	69939.000 	68377.000 	68717.000 	70327.000 	72299.000 	73791.000 	76351.000 	80050.000 	82912.000 	82072.000 	87747.000 	86552.000 	85409.000 	83824.000 	91301.000 	89570.000 	87357.000 	88178.000 	89170.000 	88957.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,DK	8624.000 	9024.000 	9407.000 	9674.000 	9547.000 	9914.000 	9629.000 	9909.000 	9953.000 	9591.000 	9375.000 	9431.000 	9166.000 	9180.000 	9215.000 	9258.000 	9204.000 	9228.000 	9171.000 	9250.000 	8984.000 	8977.000 	8870.000 	7836.000 	7506.000 	7520.704 	7501.226 	7285.763 	7222.540 	7201.832 	7006.140 	6909.061 	6873.217 	6847.652 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,EA20	170874.000 	186905.000 	190149.000 	191561.000 	193369.550 	201712.350 	205976.350 	209115.550 	208900.550 	216456.550 	233380.412 	233188.633 	239872.633 	237979.783 	245184.692 	253774.318 	261229.646 	269277.034 	274737.028 	280458.177 	292128.056 	300000.763 	304966.819 	299468.279 	298774.579 	290366.614 	281744.248 	272196.263 	277347.033 	273003.530 	264268.121 	255792.646 	255977.676 	256523.743 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	2834.000 	2771.000 	2415.000 	2377.000 	2379.000 	2650.000 	2492.000 	2495.000 	2544.000 	2584.000 	2537.000 	2616.000 	2621.000 	2630.000 	2637.000 	2733.000 	2526.000 	2226.000 	2183.000 	2445.000 	2280.000 	2182.000 	1670.000 	1668.000 	1663.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,EL	5900.000 	6183.000 	6222.000 	6073.000 	6153.000 	6172.000 	6356.000 	6600.000 	6902.000 	7468.000 	7392.000 	7427.000 	7992.000 	8383.000 	8602.000 	9451.000 	9440.000 	9505.000 	9517.000 	9667.000 	10075.000 	10508.000 	10704.000 	10702.000 	10427.000 	10294.000 	10231.000 	10233.560 	10075.520 	10075.520 	9403.520 	9013.520 	9819.520 	9819.520 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,ES	19464.000 	19545.000 	19630.000 	19697.000 	19587.550 	19922.350 	20485.350 	21030.550 	21075.550 	21176.550 	21468.550 	21771.550 	23982.550 	24313.500 	28914.550 	34189.550 	37002.550 	40708.550 	41081.550 	40947.205 	43597.205 	42880.205 	42880.205 	42880.205 	42880.205 	43168.905 	42242.905 	40298.905 	39963.399 	39718.213 	35817.821 	33848.721 	33549.351 	33532.431 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,EU27_2020	235565.000 	252358.000 	255609.000 	257903.000 	259559.550 	267870.350 	272918.350 	276630.550 	280427.550 	289130.550 	306312.412 	308237.633 	313232.633 	312818.783 	320701.692 	330496.318 	338485.646 	344841.034 	350068.028 	356580.177 	369152.056 	375586.763 	382013.819 	372141.279 	373038.579 	363452.318 	354420.474 	347494.152 	353098.172 	345451.327 	338511.528 	326193.823 	324687.516 	324432.191 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,FI	6460.000 	6475.000 	6479.000 	7062.000 	7134.000 	7375.000 	7388.000 	8020.000 	8278.000 	8335.000 	8428.000 	8628.000 	8618.000 	8594.000 	8541.000 	8406.000 	8468.000 	8565.000 	7693.000 	7431.000 	7571.000 	7699.000 	7707.000 	8349.000 	7735.000 	7743.000 	6826.000 	6958.000 	6863.000 	6860.000 	6433.000 	6355.000 	6297.000 	6026.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,FR	16162.000 	16127.000 	16262.000 	17233.000 	17164.000 	17550.000 	17684.000 	17813.000 	17313.000 	19696.000 	21496.000 	22546.000 	23268.000 	22998.000 	22791.000 	21835.000 	21091.000 	20991.000 	21215.000 	22971.000 	24328.000 	24806.110 	23967.636 	22030.042 	20491.419 	22335.737 	21117.041 	18269.470 	17119.378 	16997.728 	17183.026 	17459.666 	17363.873 	17288.102 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1126.000 	1116.060 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1591.000 	1591.000 	1603.000 	1603.000 	1683.000 	1688.000 	1694.000 	1698.000 	1694.000 	1696.000 	1951.000 	1961.000 	1984.200 	1980.000 	1609.000 	1380.600 	1399.700 	1412.100 	1411.800 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,HU	5165.000 	5172.000 	5175.000 	5155.000 	5217.000 	5329.000 	5462.000 	5464.000 	5777.000 	5762.000 	6185.000 	6282.000 	6403.000 	6203.000 	6526.000 	6519.000 	6537.000 	6472.000 	6453.000 	6547.000 	6497.000 	7097.000 	6906.000 	5831.000 	6007.000 	5856.000 	5878.000 	5867.000 	5867.000 	5873.000 	5871.000 	5875.000 	5644.000 	5655.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,IE	3225.000 	3225.000 	3337.000 	3323.000 	3296.000 	3444.000 	3573.000 	3618.000 	3768.000 	3658.000 	3936.000 	3936.000 	4629.000 	4812.200 	4798.700 	4936.700 	5322.924 	5720.522 	5490.453 	5447.322 	6206.432 	6209.632 	6068.162 	6092.161 	6088.034 	6339.463 	6333.278 	6378.018 	6375.713 	6032.373 	5928.373 	5747.373 	5609.044 	5537.194 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,IT	31595.000 	32534.000 	35743.000 	36620.000 	37092.000 	38573.000 	39865.000 	40888.000 	41660.000 	41917.000 	54034.000 	54310.000 	54433.000 	55861.000 	54226.000 	57409.000 	60962.000 	64325.000 	67154.000 	67231.000 	68797.000 	70501.000 	72852.000 	70664.000 	67419.000 	60575.000 	57438.000 	56426.202 	55929.097 	56027.873 	55114.859 	49765.700 	50150.355 	51218.982 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,LT	2426.000 	2426.000 	2426.000 	2426.000 	2426.000 	2422.000 	2422.000 	2422.000 	2422.000 	2422.000 	2422.000 	2425.000 	2425.000 	2428.000 	2431.000 	2433.000 	2435.000 	2292.000 	2330.000 	2337.000 	2338.000 	2339.000 	2807.000 	2830.000 	2530.000 	1931.000 	1931.000 	1577.000 	1582.000 	1582.000 	1628.000 	1625.000 	1625.000 	1675.000 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,LU	6.000 	6.000 	6.000 	6.000 	6.000 	6.000 	10.000 	10.000 	8.000 	8.000 	46.862 	63.083 	439.083 	439.083 	439.442 	440.068 	439.172 	438.962 	440.025 	440.650 	443.419 	462.816 	462.816 	466.871 	464.921 	451.686 	61.301 	72.201 	75.658 	95.420 	94.630 	89.976 	86.793 	101.560 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,LV	520.000 	520.000 	520.000 	520.000 	520.000 	520.000 	520.000 	520.000 	540.000 	545.000 	546.000 	552.000 	562.000 	566.000 	568.000 	576.000 	563.000 	558.000 	575.000 	921.000 	935.000 	944.000 	984.000 	1205.000 	1224.000 	1234.000 	1251.000 	1267.972 	1239.323 	1240.706 	1242.552 	1239.282 	1206.522 	1133.267 
A,CF,CAP_NET_ELC,PRR_MAIN,MW,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	361.500 	361.400 
